,HYPERION_Transmittance.0008495,HYPERION_Transmittance.0008496,HYPERION_Transmittance.0008500,HYPERION_Transmittance.0008503,HYPERION_Transmittance.0008504,HYPERION_Transmittance.0008505,HYPERION_Transmittance.0008506,HYPERION_Transmittance.0008507,HYPERION_Transmittance.0008508,HYPERION_Transmittance.0008509,HYPERION_Transmittance.0008510,HYPERION_Transmittance.0008511,HYPERION_Transmittance.0008512,HYPERION_Transmittance.0008513,HYPERION_Transmittance.0008514
0,0.00992615340958934,0.011550068768082766,0.011305872597957716,0.0077398850657988795,0.00987471727994456,0.007366678275334737,0.006825092511372682,0.008662368970773503,0.007550744270178903,0.0076709589327422925,0.0091182736133243,0.006743935502681711,0.009049087531231263,0.008693344568012351,0.006845304724209163
1,-0.005434748441567115,-0.00550563752794331,-0.005213132169733027,-0.003899075864096291,-0.0036356764003415924,-0.0038808568509762728,-0.0030055380176277637,-0.003205596488230039,-0.0030611588281184384,-0.002121804083192541,-0.003389537793365486,-0.0025172117369561997,-0.003025288675057928,-0.00294921663910617,-0.002906941296448126
2,681.7352078363704,679.3836980311469,658.0656646415761,750.9777512780794,770.4878240063505,734.0541230419036,814.3599424954414,789.6141146877286,809.3508420757405,526.420032060936,774.6671826641879,800.7899331651953,820.7726263179982,829.3571372193765,792.0601706660457
3,206.41922713753362,213.90779135771248,-219.77875859581735,178.96183626708626,-169.2596109282356,163.01423783797992,140.95851621522573,-155.08818000972175,-146.27079819339517,19.585555308607255,-167.53089752353878,145.6801392901282,-162.93944152373427,152.24569883387977,148.28756128975348
4,[2.76965368e-05 7.04086382e-04 4.82335566e+01 2.05548885e+01],[2.76059292e-05 6.62045462e-04 4.67201675e+01 2.00632328e+01],[2.97652069e-05 9.03475452e-04 6.51932997e+01 2.66231769e+01],[3.07602163e-05 3.45023391e-04 3.63199233e+01 1.87467958e+01],[3.11165860e-05 2.68082168e-04 3.12426694e+01 1.72500848e+01],[2.99325817e-05 5.39127710e-04 4.65704160e+01 2.19224787e+01],[2.94780936e-05 1.31133720e-04 1.91521127e+01 1.28377977e+01],[3.31060298e-05 2.20225037e-04 2.93237857e+01 1.74216652e+01],[3.28020756e-05 1.57183971e-04 2.28499013e+01 1.49073183e+01],[inf inf inf inf],[3.59215349e-05 2.90639864e-04 3.67025024e+01 2.05925356e+01],[3.49922355e-05 1.97352600e-04 3.33703133e+01 2.08495492e+01],[3.83910820e-05 1.44606057e-04 2.43617215e+01 1.67708567e+01],[3.72902811e-05 1.27202812e-04 2.10074999e+01 1.51303819e+01],[3.53325032e-05 2.33240725e-04 3.31531661e+01 1.98530771e+01]
5,0.010039100992521172,0.011670743256161091,0.011415760947492205,-0.03703823201501092,-0.0552877287255525,0.007409321046785121,0.006876975225636916,0.008700776313511875,0.007590483250740205,0.008176893949968957,0.009166363728196588,0.0027516459598783366,0.0090984755438511,0.008734851026605548,0.0068657124945161845
6,-1.815277951833146,-2.005832535844211,-2.046353851631424,-287.9470296981631,-517.2902658199963,-1.1199865361212693,-1.0426288983693524,-1.0663409790043548,-1.0519603443687606,0.9757984569848352,-1.2245854667403067,-7.312099728839435,-1.2584456416049332,-1.1356602446426831,0.9034879452136373
7,820.1576074636996,813.4742204324442,784.4318950085839,1468.6149733948898,1467.1512098621054,818.9922463201192,849.9742297598037,843.4973978198166,847.5281540841244,856.1326382706244,834.2089665387832,1398.9965754138375,851.3873396379057,857.8922598359438,840.875362171555
8,261.22582360461604,277.4884605479335,286.56880616902373,-4025.993410629377,-4999.147362267014,203.7955525683112,212.79120541874627,209.62433412287535,210.4152113897869,-217.01490972413362,234.38982693495907,-894.8392518969573,253.04210795421633,231.84150584854055,-195.0099464949174
9,[3.51322106e-05 1.29542745e-01 7.79017501e+00 1.54873462e+01],[3.65274048e-05 1.50767361e-01 8.93144814e+00 1.62152749e+01],[4.22823110e-05 2.55474316e-01 1.70753505e+01 2.03740882e+01],[2.17287543e-02 2.11584370e+02 2.55930611e+00 1.03912823e+03],[5.67757928e-02 6.80196979e+02 2.98830894e+00 2.26948932e+03],[3.61198233e-05 1.15429970e-01 9.05659616e+00 1.82378009e+01],[3.54139192e-05 8.05191023e-02 5.89748230e+00 1.73684910e+01],[3.87649246e-05 9.27932131e-02 6.77249182e+00 1.88004386e+01],[3.88053173e-05 8.94292621e-02 6.49983367e+00 1.87726837e+01],[4.11233216e-05 9.00020303e-02 6.97654289e+00 2.15254615e+01],[4.39906946e-05 1.27850369e-01 9.55154520e+00 2.31228322e+01],[2.14417718e-04 6.01482162e-01 2.78345379e+00 4.08855676e+01],[4.74705887e-05 1.23940012e-01 8.83624184e+00 2.51030515e+01],[4.47413723e-05 1.02377144e-01 7.21087366e+00 2.21600862e+01],[4.05847810e-05 9.37860954e-02 7.62664910e+00 2.10412590e+01]
