,HYPERION_Transmittance.0008367,HYPERION_Transmittance.0008368,HYPERION_Transmittance.0008369,HYPERION_Transmittance.0008370,HYPERION_Transmittance.0008371,HYPERION_Transmittance.0008372,HYPERION_Transmittance.0008373,HYPERION_Transmittance.0008374,HYPERION_Transmittance.0008375,HYPERION_Transmittance.0008376,HYPERION_Transmittance.0008377,HYPERION_Transmittance.0008378,HYPERION_Transmittance.0008379,HYPERION_Transmittance.0008380,HYPERION_Transmittance.0008381,HYPERION_Transmittance.0008382,HYPERION_Transmittance.0008383,HYPERION_Transmittance.0008384,HYPERION_Transmittance.0008385,HYPERION_Transmittance.0008386
0,0.006899341254645586,0.0043288302715273905,0.00142092547031583,0.0029463263363163957,0.0030247580724076964,0.0030915575788951484,0.0021084026296451157,0.007044149993273169,0.0016030411529613362,0.002334671881996634,0.004310884029430754,0.0035831655267563964,0.003619012289039312,0.005414675674014089,0.005591944651945023,0.004567472244596677,0.0028569151955840327,0.0027100035792341957,0.0009151102098080838,-0.00037172314011702765
1,0.010182401925538901,0.009949094083842067,0.009910724797666325,0.009635164462391547,0.009856346105067122,0.009913535308816909,0.010100104836970615,0.010371222949302828,0.010046413675284808,0.010171602119442041,0.010386993964531592,0.010522699367193853,0.01026301565705697,0.010618667818349648,0.010193806159442787,0.010334181140806904,0.010992662624327366,0.010518598909156381,0.010446083397081292,0.010480433618875204
2,1338.2788076724673,1326.4610174292143,1321.128894277752,1315.4346644424388,1315.3826164237116,1328.7438548792334,1318.4008352379444,1337.2340330910392,1319.11557085897,1329.370986970777,1329.67969987138,1332.7673610128606,1314.2342912285303,1342.8401018432928,1332.139305857506,1322.571856678275,1332.4998446661746,1315.056602480126,1314.7907969512867,1322.1726619101598
3,219.53319886092652,206.36563055558324,205.7819554139973,197.81043597352402,200.9697044081229,206.5039440408483,205.84305553350967,223.82855903356085,208.3927778474414,214.72707767172997,218.30402400899004,221.03377431989185,201.20799444422278,229.2681076327242,214.03397756228918,208.78700557088868,220.13960547450313,202.81879748124246,208.1498518263624,211.48746040018844
4,[8.48316496e-05 8.91503933e-05 1.50409424e+00 2.76719109e+00],[7.57857602e-05 8.58973166e-05 1.53012939e+00 2.55904138e+00],[7.63694428e-05 8.72444517e-05 1.56466730e+00 2.59280300e+00],[7.15820419e-05 8.59623961e-05 1.59130985e+00 2.51134837e+00],[7.06142148e-05 8.32739342e-05 1.50772340e+00 2.41898749e+00],[7.64354787e-05 8.64005331e-05 1.54283443e+00 2.58871221e+00],[7.34683187e-05 8.41143173e-05 1.48208334e+00 2.44916946e+00],[9.07912359e-05 9.37674741e-05 1.53434343e+00 2.89947642e+00],[7.35070904e-05 8.29714871e-05 1.46635751e+00 2.46007461e+00],[7.82910647e-05 8.47940269e-05 1.45782990e+00 2.57136134e+00],[8.71186039e-05 9.27622957e-05 1.54934881e+00 2.79526288e+00],[7.78970752e-05 8.17219277e-05 1.33453549e+00 2.46028490e+00],[6.41801998e-05 7.56673028e-05 1.31628548e+00 2.11185994e+00],[9.11642166e-05 9.17762587e-05 1.42944632e+00 2.82657113e+00],[7.73991573e-05 8.39006631e-05 1.43865343e+00 2.53569529e+00],[7.07976108e-05 7.94943399e-05 1.36275003e+00 2.30081681e+00],[7.87494147e-05 8.29584629e-05 1.30029793e+00 2.38254343e+00],[6.59181462e-05 7.69604736e-05 1.30559912e+00 2.11457518e+00],[6.92859455e-05 7.86395201e-05 1.34006826e+00 2.23315165e+00],[6.78158325e-05 7.51310491e-05 1.26616177e+00 2.17028374e+00]
5,0.0127367450756024,0.00983825265222057,0.006948906437800596,0.008173383024604687,0.00848768390168734,0.008578930947634941,0.007827455134995767,0.013091063265847738,0.007326813829620686,0.008186007170164902,0.010315153350240587,0.009768686458282758,0.009418644472358231,0.011712305625908102,0.011399657506662454,0.01044589703261295,0.009332122122232325,0.008729647936900488,0.007002389504949132,0.005755771226887915
6,-2.1918805610916037,-2.2896424461600176,-2.3585560491377033,-2.2687491773666566,-2.443362246192681,-2.2650343627616807,-2.591886698811372,-2.286321601798899,-2.560477629965102,-2.4551959785447592,-2.4246919243420053,-2.544623189558669,-2.8087910400941425,-2.330710480506054,-2.385293665720495,-2.5904911114581943,-2.735334008074329,-2.927857543860506,-2.893832406795587,-2.8528251034271546
7,1909.5240719935327,1909.2280690752857,1898.3756019374841,1892.7732890117118,1894.91126753342,1907.1473321738094,1901.9327399246656,1913.3032074506623,1904.2523964130457,1910.396625105822,1911.7063114139562,1913.4647500910964,1901.6352369665192,1916.4428167181745,1912.8770075820942,1905.4740910830428,1913.4626039142483,1897.243713550806,1896.783785841347,1907.1978057557164
8,252.83976271751527,264.52464387942086,280.73690212041015,276.6930521900906,282.71026591167606,266.7712075563755,285.61270218153834,254.4951737514433,284.6800739462748,270.1901591679584,266.3301203028126,263.34178950507885,293.5088665514373,247.77865327084808,266.42609074202466,278.5003521046828,269.1170353375152,293.5881555578962,290.2622836657018,282.0011358445482
9,[1.37419264e-04 2.74841106e-01 9.77959659e+00 3.50847247e+01],[1.39189750e-04 2.89586005e-01 1.02294637e+01 3.65794348e+01],[1.43647445e-04 2.98817144e-01 1.04975372e+01 3.86778827e+01],[1.40281711e-04 2.81250733e-01 1.00619453e+01 3.76086792e+01],[1.42345342e-04 2.93536300e-01 9.94406400e+00 3.69685128e+01],[1.39772416e-04 2.89782082e-01 1.03684475e+01 3.73160473e+01],[1.44305182e-04 3.09772913e-01 1.01106450e+01 3.68130675e+01],[1.39014843e-04 2.85396911e-01 9.87156622e+00 3.49288327e+01],[1.42887123e-04 3.09264998e-01 1.02463660e+01 3.70267510e+01],[1.40035475e-04 2.98569182e-01 1.00357596e+01 3.56558998e+01],[1.42988166e-04 3.03040526e-01 1.02243530e+01 3.62058892e+01],[1.39493424e-04 2.95462259e-01 9.45170101e+00 3.32859483e+01],[1.46011331e-04 3.20597904e-01 9.86064876e+00 3.58589560e+01],[1.37553815e-04 2.80489927e-01 9.37567128e+00 3.28843739e+01],[1.40252291e-04 2.99209736e-01 1.02955514e+01 3.62891290e+01],[1.44194155e-04 3.07832881e-01 9.93256810e+00 3.58177635e+01],[1.46658864e-04 3.16754311e-01 9.60073143e+00 3.37140796e+01],[1.48224859e-04 3.19075628e-01 9.32460353e+00 3.43894676e+01],[1.45313140e-04 3.09029577e-01 9.04860247e+00 3.34376531e+01],[1.42045968e-04 3.09366978e-01 9.19495013e+00 3.29075355e+01]
