,HYPERION_Transmittance.0008618,HYPERION_Transmittance.0008619,HYPERION_Transmittance.0008620,HYPERION_Transmittance.0008621,HYPERION_Transmittance.0008622,HYPERION_Transmittance.0008623,HYPERION_Transmittance.0008624,HYPERION_Transmittance.0008625,HYPERION_Transmittance.0008626,HYPERION_Transmittance.0008627,HYPERION_Transmittance.0008628,HYPERION_Transmittance.0008629,HYPERION_Transmittance.0008630,HYPERION_Transmittance.0008632,HYPERION_Transmittance.0008633,HYPERION_Transmittance.0008634,HYPERION_Transmittance.0008635,HYPERION_Transmittance.0008636,HYPERION_Transmittance.0008637
0,-0.07318513331580671,-0.033870580351617795,-0.05787456075875457,-0.12834023755262597,-0.03337748774210997,-0.034996968467570985,-0.03215977277913917,-0.023759151797308736,-0.032423107294050756,-0.03507518962685347,-0.05283220297446805,-0.029573244030943142,-0.01869986477122417,-0.18043413478103182,-0.06051589180803423,-0.02284153212646772,-0.030652804531648602,-0.03175168224446503,-0.02118661035804702
1,0.08282228412124722,0.04796124943205975,0.06792441923763536,0.13992949911115968,0.04454991007897868,0.045460392864943175,0.04287304358734856,0.03322980466240549,0.04437159412953341,0.04514350557570603,0.06202790139035273,0.04196425082131847,0.03161777955873615,0.18981954187818814,0.07087815189329448,0.03439721385039408,0.04041840261390754,0.04041754138959371,0.03135689887477175
2,1450.357107340636,1462.3591700995992,1452.3291312691294,1453.2568327862775,1453.2202415595618,1454.339820956779,1459.7677069409306,1454.282009150194,1454.530996538907,1460.7292203739598,1458.722782988958,1459.4810759135703,1457.296233676822,1455.0620954891433,1455.3599213493549,1466.3061472291372,1466.4893824992005,1458.6975052328214,1463.6876471649691
3,1248.1512608502435,892.0285086576853,1116.810922973705,1623.5832651364037,871.8435731025829,899.0396732445258,853.3391588644205,743.6930640276959,888.5086623532455,896.1140587974786,1040.3778369777729,844.9323925540234,714.5680353863347,1920.075137691296,1136.527221965738,742.7340716542737,821.6441590726531,841.2585119793256,707.6319918539357
4,[5.67733874e-02 5.67375259e-02 2.18959899e+00 4.50532330e+02],[1.19153055e-02 1.18855797e-02 1.79917277e+00 1.22782048e+02],[3.28149985e-02 3.27826220e-02 1.98081575e+00 2.87697698e+02],[1.52691331e-01 1.52656978e-01 2.06554034e+00 9.13255028e+02],[1.28433105e-02 1.28096609e-02 2.03306519e+00 1.39653084e+02],[1.52953425e-02 1.52596342e-02 2.23878344e+00 1.67059511e+02],[1.12880630e-02 1.12549993e-02 2.05450774e+00 1.25562940e+02],[6.52001904e-03 6.48826234e-03 1.98587945e+00 8.42653862e+01],[1.44734679e-02 1.44380611e-02 2.23045910e+00 1.60441571e+02],[1.39663282e-02 1.39323095e-02 2.19107454e+00 1.53462650e+02],[2.52312165e-02 2.51973282e-02 2.05019172e+00 2.28129592e+02],[1.07165334e-02 1.06840157e-02 2.02761671e+00 1.20783815e+02],[5.61091830e-03 5.57867665e-03 2.01327415e+00 7.41409702e+01],[3.08187150e-01 3.08151321e-01 2.21156075e+00 1.59271126e+03],[3.59640334e-02 3.59304632e-02 2.05794823e+00 3.06964306e+02],[6.08846181e-03 6.05711334e-03 1.97910343e+00 7.61730508e+01],[8.81876937e-03 8.78790892e-03 1.95758776e+00 1.01219113e+02],[1.20231969e-02 1.19861678e-02 2.37252990e+00 1.40247963e+02],[4.96230198e-03 4.93190291e-03 1.93167743e+00 6.57873275e+01]
5,-0.14707786944866144,0.012281498651521299,0.008303228967144546,0.009849781721620595,0.009328086914329162,0.008731111564494866,0.008925304078977805,-0.05045004384549189,0.010214251678901368,-0.07457029969239008,-0.10597968567269628,0.01060765579470341,0.01106546470532575,-0.35226546403982845,0.008621459826573821,0.009763911071039732,-0.06509646327576467,-0.06635914262076485,-0.04662141030241756
6,-1194.166144099193,-3.2469159749684184,2.848985294250697,2.7615385556719745,2.7772574575170954,2.84837523165854,-2.9039888448935813,-264.689241759975,2.8629294312459703,-460.62915707820645,-723.9895174677819,-3.0200072517808922,-2.9625129032620308,-4256.324844733427,-2.914018459904424,-3.3206318446982412,-371.0322507118865,-381.17841176515714,-239.3139674088053
7,1450.3345865918855,857.0561993663481,850.3531821601852,854.8641512089098,862.0640156469827,859.2108567736288,866.3385899762678,1454.200447311701,856.3713995744686,1460.6934014354922,1458.6933291183564,857.7973014133474,862.6794849681817,1455.053877140772,851.9491177152183,859.9426090582126,1466.4424332779938,1458.637936961711,1463.6031427399187
8,-4850.976635391002,226.80640257299908,-213.71394410214313,-200.8268492104958,-199.57726098666186,-215.14196403802754,206.10220023347927,-2811.8140308163647,-215.7789846251874,-3464.5823520011736,-4001.6449886556466,217.32582828023007,215.88936966569784,-7492.457299559113,213.47229299507583,234.31974833961524,-3155.0727276078405,-3234.3200466200014,-2682.3594374336994
9,[1.07545765e-01 1.25074335e+03 2.18894248e+00 1.75573329e+03],[8.35188905e-05 1.88720869e-01 4.56920826e+00 1.40319011e+01],[8.01518937e-05 1.82254716e-01 4.89669512e+00 1.44536569e+01],[7.83281134e-05 1.61424863e-01 4.12299651e+00 1.28654595e+01],[7.90956136e-05 1.52576220e-01 3.74855276e+00 1.23052742e+01],[8.18203335e-05 1.73130998e-01 4.50079521e+00 1.42423221e+01],[7.86204351e-05 1.51325296e-01 3.61441497e+00 1.20729139e+01],[1.23994498e-02 8.63359295e+01 1.98441991e+00 3.37288940e+02],[8.15769732e-05 1.77251035e-01 4.65240957e+00 1.44035701e+01],[2.75366885e-02 2.32585525e+02 2.19029237e+00 6.24340630e+02],[4.72544010e-02 4.57200982e+02 2.04962412e+00 8.87398629e+02],[8.10952121e-05 1.75276128e-01 4.36511618e+00 1.36336821e+01],[8.21471938e-05 1.69648072e-01 4.19812037e+00 1.35872959e+01],[5.71632426e-01 1.01667235e+04 2.21136202e+00 6.05990957e+03],[8.06106387e-05 1.80394358e-01 4.69688901e+00 1.40661130e+01],[8.52164557e-05 1.93620509e-01 4.67008429e+00 1.45344974e+01],[1.73212684e-02 1.34155286e+02 1.95733862e+00 4.12800335e+02],[2.35124417e-02 1.86254631e+02 2.37134740e+00 5.68939390e+02],[9.71689744e-03 6.48865877e+01 1.93107283e+00 2.70255812e+02]
